Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,361,57,22000,21530.689734288353,656.3133749878034,53564.830749994144,277913.2631578947,2.0121322741980223,0.31770509592600354,22000,29000,33000,35000,38000,42000,45000,45000,54000,54000,54000
POST,/api/predict,757,112,20000,20072.2620811852,286.4509169012308,52873.748459038325,282.79524438573316,4.219346624841837,0.6242626446265332,20000,26000,31000,34000,38000,41000,44000,47000,53000,53000,53000
,Aggregated,1118,169,21000,20543.18550047877,286.4509169012308,53564.830749994144,89929.12701252237,6.231478899039859,0.9419677405525368,21000,27000,32000,34000,38000,42000,45000,47000,53000,54000,54000
