Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,540,68,11000,13926.090120080065,1489.4103340338916,41298.21516701486,61907.17037037037,2.252383154126652,0.2836334342233562,11000,17000,20000,25000,30000,30000,30000,34000,41000,41000,41000
POST,/api/predict,1124,183,12000,14629.99600460608,1353.7344170035794,51314.3179169856,402.44928825622776,4.688293824515475,0.763307624454032,12000,18000,23000,28000,30000,30000,32000,37000,48000,51000,51000
,Aggregated,1664,251,12000,14401.565008425776,1353.7344170035794,51314.3179169856,20361.9140625,6.940676978642127,1.0469410586773882,12000,18000,22000,26000,30000,30000,31000,36000,48000,51000,51000
