Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,325,17,18000,17766.61622770453,1696.4956250740215,30781.52424993459,67121.25538461539,1.3555599686276318,0.0709062137435992,18000,23000,26000,27000,29000,30000,30000,31000,31000,31000,31000
POST,/api/predict,623,23,19000,17908.35318425529,1513.2997089531273,30797.876792028546,462.6741573033708,2.59850418601543,0.09593193624134011,19000,23000,25000,26000,28000,30000,30000,30000,31000,31000,31000
,Aggregated,948,40,18000,17859.76192805383,1513.2997089531273,30797.876792028546,23315.0358649789,3.9540641546430617,0.16683814998493932,18000,23000,25000,26000,29000,30000,30000,30000,31000,31000,31000
