Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,38,27,30000,26392.031467060166,5281.092540943064,30378.209332935512,96923.31578947368,0.31848109014610776,0.2262891956301292,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,/api/predict,66,43,30000,24807.88215845435,1767.6582919666544,30354.23529194668,165.8030303030303,0.5531513670958713,0.3603864967442798,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,104,70,30000,25386.70594429109,1767.6582919666544,30378.209332935512,35519.50961538462,0.8716324572419791,0.586675692374409,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
