Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,72,37,30000,22482.912883692836,2398.3105840161443,30251.446290989406,162762.63888888888,0.6037010653291695,0.31023526968304543,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,/api/predict,124,59,29000,22507.457898535406,1491.4285000413656,30396.545417024754,249.34677419354838,1.0397073902891252,0.4946994840891806,29000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,196,96,29000,22498.44136247079,1491.4285000413656,30396.545417024754,59948.107142857145,1.6434084556182946,0.804934753772226,29000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
